Neighborhood,Number of Crimes
Mt. Oliver,0
Central Northside,0
Bloomfield,0
Allegheny West,1
Outside County,1
New Homestead,2
Outside State,2
Regent Square,2
Esplen,3
Spring Garden,3
Swisshelm Park,3
Ridgemont,3
St. Clair,4
Mount Oliver,4
South Shore,4
Oakwood,4
Arlington Heights,4
East Carnegie,4
Chartiers City,4
North Shore,5
Hays,5
Duquesne Heights,6
Windgap,7
Polish Hill,7
Stanton Heights,7
Fairywood,7
Lincoln Place,7
Summer Hill,8
Friendship,8
Arlington,8
Glen Hazel,8
Outside City,9
West Oakland,9
Westwood,9
Northview Heights,9
West End,11
Banksville,11
Allegheny Center,12
Upper Hill,12
Overbrook,12
Terrace Village,12
Homewood West,12
Troy Hill,13
Strip District,14
South Oakland,16
Chateau,16
Upper Lawrenceville,16
Morningside,16
Lower Lawrenceville,17
Elliott,17
Central Lawrenceville,17
Bon Air,17
Point Breeze,17
Fineview,18
Central North Side,19
Beltzhoover,19
California-Kirkbride,21
Crawford-Roberts,21
Squirrel Hill North,21
Central Oakland,23
Larimer,24
Middle Hill,24
Manchester,26
Greenfield,27
South Side Slopes,27
Bedford Dwellings,27
Garfield,28
Spring Hill-City View,30
North Oakland,32
Point Breeze North,33
Crafton Heights,33
Lincoln-Lemington-Belmar,33
Beechview,33
Perry North,34
Bluff,36
East Hills,37
Knoxville,38
Homewood North,40
Perry South,42
Hazelwood,42
Highland Park,43
East Allegheny,44
Homewood South,45
Shadyside,45
Brighton Heights,47
Marshall-Shadeland,48
Sheraden,50
Allentown,51
Mount Washington,55
Squirrel Hill South,56
South Side Flats,57
East Liberty,57
Carrick,60
Brookline,73
Central Business District,105