Census Tract,TotalPopulation,OwnedMortgage,OwnedFree,RenterOccupied
103,588,81,108,399
201,"2,538",304,168,"2,066"
203,616,47,13,556
305,"2,140",410,151,"1,579"
402,"1,345",297,142,906
404,"2,163",244,633,"1,286"
405,"2,958",92,128,"2,738"
406,"2,392",63,130,"2,199"
409,"2,877",591,385,"1,901"
501,"1,682",337,256,"1,089"
506,"2,057",735,429,893
509,"1,202",44,53,"1,105"
510,"1,307",57,49,"1,201"
511,"1,122",4,0,"1,118"
603,"2,319",635,308,"1,376"
605,"1,274",400,324,550
703,"2,067",557,221,"1,289"
705,"2,986",461,178,"2,347"
706,"2,069",458,251,"1,360"
708,"1,688",287,145,"1,256"
709,"4,388",878,467,"3,043"
802,"1,679",487,302,890
804,"1,369",274,149,946
806,"1,992",569,241,"1,182"
807,"1,696",281,80,"1,335"
809,"1,699",420,209,"1,070"
901,"1,834",527,322,985
902,"2,548",843,509,"1,196"
903,"1,629",457,237,935
1005,"2,031","1,175",349,507
1011,"2,664",614,492,"1,558"
1014,"3,341","1,660",594,"1,087"
1016,857,173,78,606
1017,"1,465",536,266,663
1018,"2,522","1,522",667,333
1102,"3,947","1,444",416,"2,087"
1106,"2,406","1,353",459,594
1113,"2,475",500,172,"1,803"
1114,"1,345",360,214,771
1115,"3,051",308,148,"2,595"
1203,"1,650",436,373,841
1204,869,194,192,483
1207,801,185,137,479
1208,703,169,159,375
1301,"1,910",373,314,"1,223"
1302,"1,370",442,313,615
1303,"1,139",269,161,709
1304,"1,188",250,211,727
1306,"3,169",804,515,"1,850"
1401,"2,553","1,275",650,628
1402,"2,189",708,323,"1,158"
1403,"3,432","1,427",649,"1,356"
1404,"2,306","1,396",545,365
1405,"2,039",606,209,"1,224"
1406,"2,985","1,634",547,804
1408,"4,550","1,873",735,"1,942"
1410,928,525,190,213
1411,"1,358",783,369,206
1413,"4,819","1,343",586,"2,890"
1414,"5,227","2,333",788,"2,106"
1516,"2,363","1,127",516,720
1517,"4,931","2,150",939,"1,842"
1608,"2,558",822,518,"1,218"
1609,"2,771",549,221,"2,001"
1702,"3,717","1,005",516,"2,196"
1706,"1,841",554,361,926
1803,"2,469",651,393,"1,425"
1807,"2,001",796,320,885
1903,"1,945",742,421,782
1911,"2,425","1,013",490,922
1914,"2,794",657,395,"1,742"
1915,"2,047",645,377,"1,025"
1916,"4,290","1,791",759,"1,740"
1917,"3,445","1,873",774,798
1918,"5,321","2,953","1,111","1,257"
1919,"2,154","1,040",400,714
1920,"3,591","1,609",617,"1,365"
2022,"2,568","1,137",523,908
2023,"3,981","1,569",800,"1,612"
2107,"2,126",711,270,"1,145"
2206,"1,712",466,159,"1,087"
2406,"2,711",820,457,"1,434"
2412,884,327,248,309
2503,"1,088",354,156,578
2507,725,153,77,495
2509,"1,285",401,219,665
2602,"2,249","1,036",419,794
2607,"1,744",889,226,629
2609,"1,214",19,22,"1,173"
2612,"1,051",553,279,219
2614,"2,381",793,339,"1,249"
2615,"1,649",515,253,881
2620,"2,566",936,578,"1,052"
2701,"2,618","1,428",401,789
2703,"1,912",832,290,790
2704,"1,079",505,206,368
2708,"2,589","1,385",556,648
2715,"3,135","1,208",605,"1,322"
2814,"2,352",900,367,"1,085"
2815,"1,462",759,306,397
2901,"2,104",895,445,764
2902,"3,942","1,818",751,"1,373"
2904,"4,019","1,860",832,"1,327"
3001,"3,747","1,202",656,"1,889"
3102,"3,227","1,933",807,487
3103,990,605,310,75
3204,"1,904","1,025",493,386
3206,"2,261","1,319",489,453
3207,"1,650",961,423,266
4011,"4,431","2,198","1,239",994
4012,"3,272","1,007",649,"1,616"
4013,"2,694","1,628",709,357
4020,"3,167","1,430",669,"1,068"
4035,"4,467","1,728",785,"1,954"
4040,"1,500",667,316,517
4050,"1,157",603,404,150
4060,"2,376","1,331",687,358
4070.01,"5,162","3,096","1,364",702
4070.02,"6,474","4,238","1,601",635
4080.01,"4,656","2,916",918,822
4080.02,"6,296","4,815","1,086",395
4090,"11,494","8,524","1,653","1,317"
4100,"1,171",843,291,37
4110,"6,915","5,074","1,359",482
4120.01,"8,605","6,685","1,467",453
4120.02,"4,865","3,650","1,037",178
4131,"6,418","4,037","1,164","1,217"
4132.01,"3,737","2,290",805,642
4132.02,"2,866","1,883",698,285
4133,"4,578","3,138","1,123",317
4134,"4,297","2,967","1,143",187
4135,"5,561","2,543",961,"2,057"
4141.01,"5,350","3,888","1,184",278
4141.02,"7,036","4,220","1,526","1,290"
4142,"5,957","4,076","1,351",530
4150.01,"4,577","2,963",998,616
4150.02,"2,443","1,588",572,283
4160,"1,636",819,549,268
4171,"2,145","1,208",495,442
4172,"1,260",527,185,548
4180,"1,742",928,584,230
4190,"2,687","1,111",896,680
4200,"1,432",492,217,723
4211,"4,098","2,498","1,127",473
4212,"4,304","2,784","1,172",348
4220,"5,388","3,375","1,560",453
4230,"2,801","1,211",470,"1,120"
4240,"3,436","1,041",494,"1,901"
4250,"3,447","1,590",535,"1,322"
4263,"6,030","4,035","1,740",255
4264,"4,571","2,738","1,049",784
4267,"2,357","1,168",583,606
4268,"5,369","3,715","1,534",120
4270,"3,724","1,260",539,"1,925"
4271,"5,504","3,783","1,474",247
4272,"4,809","2,457","1,215","1,137"
4281,"1,242",648,425,169
4282,"2,091","1,243",630,218
4291,"2,411","1,229",480,702
4292.01,"4,091","2,437",989,665
4292.02,"4,365","2,688","1,258",419
4293,"5,417","3,357","1,353",707
4294,"4,259","2,664","1,074",521
4295,"4,209","1,730",882,"1,597"
4296,"3,300","1,766",513,"1,021"
4297,"2,367","1,408",594,365
4301,"2,104","1,216",308,580
4302,"4,659","2,664",801,"1,194"
4311,"3,349","1,083",322,"1,944"
4314,"1,895",897,257,741
4315,"3,054",947,330,"1,777"
4323,"2,056",810,300,946
4324,"2,570",995,460,"1,115"
4340,"1,778","1,136",251,391
4350,"2,377","1,215",437,725
4370,"4,653","3,161",740,752
4390,"1,388",953,350,85
4455,"3,822","1,916",722,"1,184"
4460,"1,680","1,117",422,141
4470,"1,634","1,063",367,204
4480,"1,218",563,240,415
4490,"2,636","1,651",581,404
4507,"3,084","1,451",525,"1,108"
4508,"2,539",914,451,"1,174"
4511.01,"3,591","2,425",835,331
4511.02,"4,437","2,110",731,"1,596"
4511.04,"3,573","2,898",475,200
4511.05,"4,178","1,444",539,"2,195"
4513,"7,084","4,796","1,450",838
4520,"5,052","3,082","1,115",855
4530.03,"1,893","1,175",502,216
4530.04,"6,952","3,964","1,012","1,976"
4550,"1,459",830,389,240
4560.01,"3,523","2,472",696,355
4560.03,"6,094","4,458","1,107",529
4560.04,"4,535","2,432",610,"1,493"
4571,"1,399",509,275,615
4572,"3,720","1,968",799,953
4580,"7,061","4,199","1,803","1,059"
4591.01,"1,704",981,391,332
4591.02,"5,449","3,559","1,143",747
4592.01,"5,887","2,757","1,431","1,699"
4592.02,661,441,79,141
4600.01,"4,244","2,537","1,254",453
4600.02,"3,410","2,178",805,427
4610,"1,084",414,194,476
4621,"2,623",907,657,"1,059"
4626,"3,724","1,405",573,"1,746"
4639,"2,648",921,433,"1,294"
4643,"3,330","1,704",690,936
4644,"3,323",695,428,"2,200"
4656,"2,361",956,344,"1,061"
4658,"3,573","1,777",559,"1,237"
4687,"1,758",900,382,476
4688,"2,564","1,141",323,"1,100"
4689,"3,634","1,315",566,"1,753"
4690,"4,429","2,665","1,326",438
4703,"3,647","1,940",939,768
4704,"3,063","1,984",754,325
4705.01,"3,941",876,475,"2,590"
4705.02,"2,801","1,700",775,326
4706,"3,087","1,286",622,"1,179"
4710,"1,244",618,287,339
4721,"2,521","1,260",327,934
4722,"2,216",991,309,916
4723,"2,008",779,246,983
4724,"1,828","1,190",330,308
4731,"4,730","2,541",822,"1,367"
4732,"3,181","1,365",546,"1,270"
4733,"5,336","3,547",907,882
4734.01,"3,713","2,008",661,"1,044"
4734.02,"3,660","2,266",761,633
4735,"3,581","2,695",685,201
4736.01,"3,909","2,384",870,655
4736.02,"4,564","2,710","1,190",664
4741.01,"3,601","2,600",807,194
4741.02,"3,682","2,639",754,289
4742.01,"2,600","1,892",620,88
4742.02,"4,754","3,272","1,106",376
4742.03,"4,529","3,440",929,160
4751.01,"4,564","2,124",970,"1,470"
4751.02,"1,665","1,096",484,85
4752,"4,912","3,383","1,269",260
4753.01,"4,423","2,184","1,058","1,181"
4753.03,"4,064","2,854","1,091",119
4753.04,"5,634","3,779","1,014",841
4754.01,"3,774","2,382",993,399
4754.02,"3,060","2,032",729,299
4761,"5,031","1,887",753,"2,391"
4762,"3,279","2,070",813,396
4771,"3,599","2,313",994,292
4772,"4,001","2,365","1,018",618
4773,"5,972","2,754","1,113","2,105"
4781,"4,010","1,858",696,"1,456"
4782,"5,628","3,110","1,071","1,447"
4790,"1,992","1,386",508,98
4801.01,"4,837","1,868",763,"2,206"
4801.02,"3,099","1,846",895,358
4802,"3,426","2,075",909,442
4803,"3,415","2,126",942,347
4804,"4,976","2,767","1,532",677
4810,"3,403","1,046",570,"1,787"
4825,"1,929",861,617,451
4838,"3,126",751,475,"1,900"
4843,"3,404","1,192",652,"1,560"
4845,"5,745","2,987","1,392","1,366"
4846,"2,210",994,525,691
4850,"1,271",569,323,379
4867,"2,327",526,339,"1,462"
4868,"1,817",508,412,897
4869,"1,378",391,314,673
4870,"1,792",722,431,639
4881,"2,311","1,265",636,410
4882,"3,507","1,650",787,"1,070"
4883,"2,170","1,161",753,256
4884,"4,453","2,353","1,058","1,042"
4885,"2,843","1,550",742,551
4886,"4,941","2,623","1,536",782
4890.01,"4,434","2,637",895,902
4890.02,"3,726","2,331",970,425
4900.02,"4,782","2,502","1,013","1,267"
4900.03,"3,518","2,177",835,506
4900.04,"5,007","3,676",870,461
4911.01,"5,812","3,653","1,215",944
4912,"2,010",909,565,536
4927,"1,879",619,520,740
4928,"2,741",937,561,"1,243"
4929,"2,145",726,552,867
4940,"1,493",680,288,525
4950,"3,373","1,644","1,268",461
4961.01,"2,929","1,825",890,214
4961.02,"4,502","2,634","1,339",529
4962,"5,812","3,184","1,492","1,136"
4970,"1,072",560,383,129
4980,"2,523","1,465",722,336
4993,"1,574",768,487,319
4994,"2,878",988,664,"1,226"
5003,"3,798","1,953","1,090",755
5010,"1,515",552,286,677
5030.02,"5,790","3,050","1,509","1,231"
5041,"5,210","2,120","1,187","1,903"
5070,"2,126",992,437,697
5080,"2,174",506,260,"1,408"
5094,"5,237","1,628",754,"2,855"
5100,"1,813",577,208,"1,028"
5120,"2,317",738,607,972
5128,"1,380",348,324,708
5129,"1,160",261,252,647
5138,"1,978",442,385,"1,151"
5140,"2,115",378,312,"1,425"
5151,"2,722",897,414,"1,411"
5152,"2,124",806,339,979
5153,"1,860",573,287,"1,000"
5154.01,"2,266","1,087",455,724
5161,"1,392",808,263,321
5162,"1,726",952,260,514
5170,"1,878",683,398,797
5180.01,"3,391","2,124",937,330
5190,"3,011","2,018",871,122
5200.01,"3,229","1,622",784,823
5200.02,"3,128","1,606",633,889
5211,"4,591","3,169","1,062",360
5212,"4,086","1,600",764,"1,722"
5213.01,"4,051","1,553",677,"1,821"
5213.02,"4,225","1,509",643,"2,073"
5214.01,"2,693","1,406",606,681
5214.02,"3,897","2,532","1,181",184
5215,"4,330","2,639","1,207",484
5220,"3,294","1,102",516,"1,676"
5231,"4,194","2,256",997,941
5232,"3,910","2,297",587,"1,026"
5233,"4,022","2,501",862,659
5234,"4,967","2,938",900,"1,129"
5235.01,"4,657","2,730","1,001",926
5235.02,"1,535",814,366,355
5236,"4,842","2,708","1,189",945
5237.01,"4,179","2,504","1,006",669
5237.02,"5,180","2,766",925,"1,489"
5238,"4,648","2,631","1,273",744
5240,"2,473",959,359,"1,155"
5251,"2,054","1,206",426,422
5252,"1,923",575,231,"1,117"
5253,"2,118","1,171",448,499
5261.01,"6,844","4,591","1,347",906
5261.02,"2,060","1,193",484,383
5262.01,"3,690","2,350",880,460
5262.02,"5,046","3,155",971,920
5263.01,"4,105","2,734","1,159",212
5263.02,"5,249","2,757",920,"1,572"
5509,"1,783",463,384,936
5512,"3,240","1,050",593,"1,597"
5513,"2,384","1,178",708,498
5519,"1,394",185,197,"1,012"
5520,"2,746",979,507,"1,260"
5521,924,89,102,733
5522,"1,100",355,288,457
5523,"2,184",742,402,"1,040"
5524,"3,015","1,254",778,983
5604,"1,390",164,54,"1,172"
5605,"2,176",714,272,"1,190"
5606,"1,055",164,75,816
5610,"1,486",341,132,"1,013"
5611,850,214,172,464
5612,"1,317",348,181,788
5614,"4,239","1,506",509,"2,224"
5615,"3,132",941,564,"1,627"
5616,"2,113",791,463,859
5617,718,277,154,287
5619,"2,054",761,476,817
5620,"3,165",271,232,"2,662"
5623,"3,248",890,625,"1,733"
5624,"2,733","1,051",732,950
5625,"3,031","1,155",446,"1,430"
5626,"2,635",914,513,"1,208"
5627,"1,332",159,90,"1,083"
5628,"1,545",620,257,668
5629,"1,926",622,443,861
5630,"2,785","1,064",583,"1,138"
5631,"3,549","1,761",820,968
5632,"2,395",430,311,"1,654"
5633,"1,449",929,399,121
5638,"3,668","1,973",842,853
5639,"3,927","1,870",934,"1,123"
5640,"5,469","3,494","1,346",629
5641,882,655,201,26
5642,"2,224","1,160",695,369
5644,"5,620","2,912","1,490","1,218"
5645,"3,201","1,930",878,393
9800,540,125,13,402
9801,18,11,6,1
9803,1,1,0,0
9804,21,5,1,15
9805,27,15,9,3
9806,7,0,4,3
9807,19,0,3,16
9808,0,0,0,0
9809,0,0,0,0
9810,4,4,0,0
9811,7,3,0,4
9812,0,0,0,0
9818,60,10,12,38
9822,341,4,0,337
,"","","",""
